Time;Scenario;Key Event;User/Identity;Detection;Response
00:13;17;Raw export of vm-disk-key confirms TPM or enclave key extraction;node-7 TPM;Trust-anchor anomaly;Key rotation and attestation revocation initiated
00:13;17;Healthy attestation report conflicts with boot log and PCR history;node-7 attestation;Attestation anomaly;Remote attestation trust revoked
00:14;17;Shadow VM clone created from prod-db-01 using stolen disk key and forged trust;shadow-db;Workload identity bypass;Clone quarantined, workload identity blocked
00:15;17;9.4 GB outbound transfer confirms exfiltration from cloned trusted workload;shadow-db;UEBA critical;Attacker IP blocked, hardware rebuild workflow started
01:05;18;DNS tunneling detected over legitimate resolver using high-entropy subdomains;dns-resolver-01;DNS anomaly;Resolver query logging enabled, suspicious domains sinkholed
01:06;18;C2 beacon traffic exfiltrates staged credentials over DNS TXT records;malware-implant;UEBA escalation;Outbound DNS blocked, endpoint isolated
01:07;18;Attacker pivots to internal LDAP server using tunneled session;ldap-server-01;Network anomaly;LDAP access revoked, lateral path blocked
01:08;18;22.1 MB of AD schema data exfiltrated via DNS tunnel before containment;ldap-server-01;UEBA critical;Full AD audit initiated, affected accounts reset
02:10;19;Rogue container image pushed to private registry with embedded reverse shell;ci-pipeline-bot;Registry anomaly;Image quarantined, pipeline paused, registry audit started
02:11;19;Reverse shell activates in staging environment and beacons to attacker C2;staging-runner-03;Runtime anomaly;Container terminated, network egress blocked
02:12;19;Attacker escalates to cluster-admin via misconfigured RBAC binding;staging-runner-03;RBAC anomaly;Binding revoked, cluster audit initiated
02:13;19;Cluster secrets and service account tokens harvested before detection;k8s-api-server;Credential anomaly;All tokens rotated, impacted services restarted
02:45;20;AI model inference endpoint receives adversarial prompt to extract system context;ai-inference-01;Prompt injection anomaly;Request blocked, inference logs reviewed
02:46;20;Follow-up prompt extracts partial training data sample via model inversion;ai-inference-01;Data leakage anomaly;Model endpoint suspended, red team review initiated
02:47;20;Attacker uses extracted schema to craft targeted spear-phish against ML team;ml-team@example.com;Phishing anomaly;Mailbox quarantined, phishing campaign blocked
02:48;20;14.3 MB of proprietary model weights confirmed exfiltrated via inference API;ai-inference-01;UEBA critical;Model endpoint disabled, IP blocked, legal escalation initiated
03:30;21;Compromised prompt template package is published to internal registry;prompt-ci-bot;Supply chain anomaly;Package quarantined, dependency freeze initiated
03:31;21;Poisoned prompt template deploys to orchestration layer without review;agent-orchestrator;Policy drift anomaly;Deployment halted, approval workflow enforced
03:32;21;Injected hidden instructions force model to reveal retrieval context;agent-orchestrator;Prompt integrity anomaly;Session blocked, template rollback initiated
03:33;21;7.8 MB of indexed knowledge snippets exfiltrated through chained prompts;knowledge-index;UEBA critical;Index access revoked, legal and IR escalation initiated
04:02;22;SIEM API token used from new ASN outside approved geofence;siem-api-token-prod;Access anomaly;Token revoked, emergency auth reset initiated
04:03;22;Detection suppression rules modified to hide credential theft alerts;siem-control-plane;Control-plane anomaly;Rule set restored, change window locked
04:04;22;Attacker deletes 36 minutes of audit logs via privileged API call;siem-control-plane;Log integrity anomaly;Immutable backup restore initiated
04:05;22;Parallel data exfiltration reaches 18.6 MB before containment window closes;soc-data-lake;UEBA critical;Egress blocked, cross-platform hunt launched
04:40;23;Compromised CI runner signs a malicious hotfix artifact and tags it as production-ready;release-runner-02;Build integrity anomaly;Signing key revoked, release channel frozen
04:41;23;Poisoned hotfix deploys to payment API and silently disables transaction integrity checks;payments-api;Runtime policy anomaly;Deployment rolled back, integrity guardrails re-enabled
04:42;23;Attacker triggers fraudulent settlement bursts through manipulated validation pipeline;settlement-worker-01;Fraud pattern anomaly;Settlement queue paused, reconciliation initiated
04:43;23;11.7 MB of payment metadata exported via trusted partner webhook before kill switch;partner-webhook-gateway;UEBA critical;Webhook disabled, legal and finance escalation initiated
05:10;24;Compromised MDM profile pushes stealth VPN and root certificate to executive laptops;mdm-controller;Endpoint configuration anomaly;Profile revoked, fleet certificate rotation initiated
05:11;24;Shadow VPN channel reroutes sensitive collaboration traffic to attacker relay;exec-laptop-fleet;Network trust anomaly;VPN tunnel blocked, endpoint isolation enforced
05:12;24;Credential replay against privileged SaaS admin console succeeds from managed device posture;saas-admin-console;Identity posture anomaly;Session revoked, conditional access tightened
05:13;24;9.9 MB of board and legal documents exfiltrated from cloud drive during trust window;exec-docs-tenant;UEBA critical;Drive access frozen, incident disclosure workflow initiated
